ID,Title,Abstract,Year,Database,Journal,Screening_Reason,Sample_Size,Gender_Details,Age_Details,Race_Ethnicity_Details,Country_of_Study,Extraction_Notes,Assigned_Categories,Pediatrics (<=18),Young Adult (19-35),Middle-aged (36-60),Senior/Elderly (>60),Not Reported,Age Diversity Index
12,Facial electromyographic (EMG) responses to emotionally significant visual images: differences between light and heavy drinkers.,"Fifty participants took part in an experiment designed to investigate individual differences in the effects of alcohol on facial EMG responses to emotionally significant stimuli. Participants took part in two experimental sessions during which they viewed emotionally negative and emotionally positive visual images. In one session they consumed alcohol (0.5 g/kg bodyweight) whilst in the other they consumed soft drink. We classified each participant as a light or heavy drinker on the basis of their self-reported alcohol consumption. Negatively valenced images elicited increases in both frontalis and corrugator activity but alcohol did not moderate this effect either in light or heavy drinkers. Nevertheless, heavy drinkers did respond more strongly to the negatively valenced images and this supports the view that responses to negative emotional stimuli may play a part in the development of heavy drinking as a result of negative reinforcement processes.",2001,PubMed,Drug and Alcohol Dependence,"This is a primary empirical study published in 2001 that uses facial EMG as a core data collection modality with human participants, satisfying all inclusion criteria.",50,"33 Males, 17 Females","Mean 23.9 ± 2.6 years, range 19-32",Not reported,UK,"Participant demographic information was found in Section 2.1 'Participants and setting' and in Table 1. The text provided the total sample size and gender, while Table 1 provided age statistics for the 49 participants whose data were analyzed. Race/ethnicity was not reported.",Other / General,0,1,0,0,0,13
13,The effects of a weight belt on trunk and leg muscle activity and joint kinematics during the squat exercise.,"Fourteen healthy men participated in a study designed to examine the effects of weight-belt use on trunk- and leg-muscle myoelectric activity (EMG) and joint kinematics during the squat exercise. Each subject performed the parallel back squat exercise at a self-selected speed according to his own technique with 90% of his IRM both without a weight belt (NWB) and with a weight belt (WB). Myoelectric activity of the right vastus lateralis, biceps femoris, adductor magnus, gluteus maximus, and erector spinae was recorded using surface electrodes. Subjects were videotaped from a sagittal plane view while standing on a force plate. WB trials were completed significantly faster (p < 0.05) than NWB trials over the entire movement and in both the downward phase (DP) and upward phase (UP). No significant differences in EMG were detected between conditions for any of the muscle groups or for any joint angular kinematic variables during either phase of the lift. The total distance traveled by the barbell both anteriorly and vertically was significantly greater (p < 0.01) in the WB condition than the NWB condition. The velocity of the barbell was significantly greater (p < 0.01) both vertically and horizontally during both the DP and UP in the WB condition as compared with the NWB condition. These data suggest that the use of a weight belt during the squat exercise may affect the path of the barbell and speed of the lift without altering myoelectric activity. This suggests that the use of a weight belt may improve a lifter's explosive power by increasing the speed of the movement without compromising the joint range of motion or overall lifting technique.",2001,PubMed,The Journal of Strength and Conditioning Research,The study is primary empirical research from 2001 using surface EMG as a core modality to collect original data from human participants.,14,14 men,Mean 28.5 ± 3.3 years,Not reported,USA,"Participant demographic information regarding sample size, gender, and age was explicitly stated in the 'Subjects' subsection of the 'Methods' section. The country of study was inferred from the authors' institutional affiliation.","Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics",0,1,0,0,0,6.6
14,Anticipatory and reflexive neck muscle activities during voluntary rapid jaw opening and passive jaw depression in humans.,"The characteristics of head movement during voluntary rapid jaw opening movement and passive jaw depression were investigated using accelerometers and electromyographs (EMG) on eight healthy examinees. Passive depressions were executed by means of load on the lower jaw, initiated either by examinees themselves or an experimenter. In the depression initiated by examinees, a head-extension movement that preceded the load to the lower jaw and anticipatory activities in the nuchal region of the trapezius muscle were observed. In the depression initiated by the experimenter, the anticipatory activities were not observed. In both of these cases, stretch reflexes were induced in the trapezius muscle. During voluntary rapid jaw opening, a head-extension movement nearly synchronized with the opening movement in the lower jaw acceleration, and dorsal-neck muscle activities accompanying the synchronized movement were observed. The peak timing of these neck-muscle activities preceded the latencies of the stretch-reflex activities observed in the jaw-depressed tasks, but no anticipatory activities were observed in the dorsal-neck muscles. We conclude that neither the anticipatory activities nor the reflex activities observed in the passive depressions have effects on the initial part of the dorsal-neck muscle activities, which are related to the head-extension synchronized with the voluntary lower-jaw opening movement.",2002,PubMed,Journal of oral rehabilitation,The paper is original empirical research published in 2002 that uses both surface and fine-wire EMG as a core modality to study neck muscle activity in healthy human participants.,8,"four men, four women","aged 22–30, mean 25.4",Not reported,Japan,"The participant count, gender, and age data were explicitly stated in the first sentence of the 'Materials and methods' section. The country of study was determined from the author affiliations listed as Nagasaki, Japan.","Biomechanics & Kinematics, Neurophysiology",0,1,0,0,0,8
15,Effects of posture on dynamic back loading during a cable lifting task.,"This study evaluated spinal loads associated with lifting and hanging heavy mining cable in a variety of postures. This electrical cable can weigh up to 10 kg per metre and is often lifted in restricted spaces in underground coal mines. Seven male subjects performed eight cable lifting and hanging tasks, while trunk kinematic data and trunk muscle electromyograms (EMGs) were obtained. The eight tasks were combinations of four postures (standing, stooping, kneeling on one knee, or kneeling on both knees) and two levels of cable load (0 N or 100 N load added to the existing cable weight). An EMG-assisted model was used to calculate forces and moments acting on the lumbar spine. A two-way split-plot ANOVA showed that increased load (p < 0.05) and changes in lifting posture (p < 0.05) independently affected trunk muscle recruitment and spinal loading. The increase in cable load resulted in higher EMG activity of all trunk muscles and increased axial and lateral bending moments on the spine (p < 0.05). Changes in posture caused more selective adjustments in muscle recruitment and affected the sagittal plane moment (p < 0.05). Despite the more selective nature of trunk EMG changes due to posture, the magnitude of changes in spinal loading was often quite dramatic. However, average compression values exceeded 3400 N for all cable lifting tasks.",2002,PubMed,Ergonomics,"This is an original empirical research article published in English in 2002, investigating a lifting task in human subjects where surface EMG is a core data collection modality used in a biomechanical model.",7,7 Males,"Mean 25.7 ± 5.4 years, range 22-36",Not reported,USA,"Participant demographics including sample size, gender, and age were found in Section 2.1 'Subjects' and Table 1. No information regarding race or ethnicity was reported.","Biomechanics & Kinematics, Neurophysiology",0,1,1,0,0,14
16,Oscillatory cortical drive to isometrically contracting muscle in Unverricht-Lundborg type progressive myoclonus epilepsy (ULD).,"OBJECTIVE: We investigated with whole-scalp magnetoencephalography (MEG) oscillatory cortical drive to isometrically contracting muscle in 8 genetically verified, and thus etiologically homogeneous, Unverricht-Lundborg type progressive myoclonus epilepsy (ULD) patients suffering from cortical myoclonus and generalized tonic-clonic seizures. The results were compared with those of 8 healthy control subjects. METHODS: Cortical MEG signals were measured simultaneously with surface electromyography (EMG) during isometric contraction of the left and right first dorsal interosseus muscles. Cortex-muscle coherence and cross-correlograms between MEG and EMG signals were calculated as indicators of oscillatory cortical drive to muscle. The cortical areas involved in the maximum cortex-muscle coherence were also identified. RESULTS: In patients, the strengths of the dominant coherent peaks were 2-4 fold compared with the healthy controls. Whereas the coherence was found strictly in the contralateral primary motor cortex in controls, additional coherent activity was observed ipsilaterally in 5 out of 8 patients. CONCLUSIONS: The remarkably increased MEG-EMG coherence in ULD patients suggests altered oscillatory cortical drive to the muscle during isometric contraction. We suggest that the enhanced cortex-muscle coherence in ULD patients reflects reduced inhibition in the motor cortex, and may contribute to disturbed voluntary movements.",2002,PubMed,Clinical neurophysiology,"The study is original empirical research that uses surface EMG as a core data collection modality to investigate cortex-muscle coherence in human participants, published in a peer-reviewed English journal in 2002.",16,"10 Males, 6 Females (8 patients: 5 males, 3 females; 8 controls: 5 males, 3 females)",Range 18-35 years,Not reported,Finland,All demographic data was located in the '2.1. Subjects' subsection of the 'Materials and methods' section. The study included a patient group and an age- and gender-matched control group.,"Clinical & Diagnostic, Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology",1,1,0,0,0,17
17,The effect of foot placement on sit to stand in healthy young subjects and patients with hemiplegia.,"OBJECTIVE: To determine the effect of altering the foot placement of the dominant limb in young healthy subjects and the uninvolved limb of subjects with hemiplegia on their ability to perform sit to stand (STS). DESIGN: Controlled biomechanical experiment. SETTING: Research laboratory of a university health science center. PARTICIPANTS: Nonrandom convenience sample of 10 healthy and 10 subjects with hemiplegia. Respective mean ages were 26 and 59 years. All patients with hemiplegia could ambulate and STS independently. The mean time since the stroke was 3.6 years. INTERVENTIONS: Subjects came from a sitting to a standing position under 3 different conditions: (1) normal condition, where both limbs were placed in 100 degrees of knee flexion; (2) limb extended condition, where the dominant or uninvolved limb was extended to 75 degrees of knee flexion; and (3) limb elevated condition, where the dominant or uninvolved limb was placed on a dense foam support equal to 25% of the subject's knee height. MAIN OUTCOME MEASURES: Vertical and anteroposterior ground reaction forces (GRFs) and bilateral tibialis anterior and quadriceps electromyogram (EMG) activity. RESULTS: In the young subjects, the normally placed nondominant limb compensated for the extended or elevated position of the dominant limb. Peak GRFs and EMG amplitudes were all significantly greater for the nondominant limb. In patients with hemiplegia, the EMG of the involved limb increased 39% in the limb-elevated and -extended conditions compared with the normal condition. Respective values for the uninvolved limb decreased. GRFs were significantly greater for the uninvolved limb except for the vertical force in the limb-extended position. CONCLUSIONS: Muscle activity and GRFs can be influenced by altering the initial foot placement of the dominant or uninvolved limb during STS. These initial data have positive implications for the rehabilitation of patients with hemiplegia who could be taught to overcome a reduced ability to use their impaired limb after stroke.",2002,PubMed,Archives of Physical Medicine and Rehabilitation,"The study is a primary empirical investigation on human subjects, published in 2002, that uses surface EMG as a core outcome measure to assess muscle activity during a sit-to-stand task.",20,"9 Males, 1 Female (hemiplegia group, n=10); Not reported (healthy group, n=10)","Healthy group (n=10): Mean age 26 years, range 18-35 years. Hemiplegia group (n=10): Mean age 59 years, age range 37-78 years.",Not reported,USA,"Participant numbers and age details were found in the abstract and the 'Participants' subsection of the Methods. A gender breakdown for the hemiplegia group and individual ages were provided in Table 1, while the country was determined from author affiliations.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy",1,1,1,1,0,60
18,Prediction of joint moments using a neural network model of muscle activations from EMG signals,"Because the relationship between electromyographic (EMG) signals and muscle activations remains unpredictable, a new way to determine muscle activations from EMG signals by using a neural network is proposed and realized. Using a neural network to predict the muscle activations from EMG signals avoids establishing a complex mathematical model to express the muscle activation dynamics. The feed-forward neural network model of muscle activations applied here is composed of four layers and uses an adjusted back-propagation training algorithm. In this study, the basic back-propagation algorithm was not applicable, because muscle activation could not be measured, and hence the error between predicted activation and the real activation was not available. Thus, an adjusted back-propagation algorithm was developed. Joint torque at the elbow was calculated from the EMG signals of ten flexor and extensor muscles, using the neural network result of estimated activation of the muscles. Once muscle activations were obtained, Hill-type models were used to estimate muscle force. A musculoskeletal geometry model was then used to obtain moment arms, from which joint moments were determined and compared with measured values. The results show that this neural network model can be used to represent the relationship between EMG signals and joint moments well.",2002,IEEE,IEEE Transactions on Neural Systems and Rehabilitation Engineering,"The study is original empirical research involving new data collection from human participants, using intramuscular EMG as a core modality to develop and validate a model, and was published in English in a peer-reviewed journal in 2002.",1,1 Male,Not reported,Not reported,USA,"Participant information was found in the 'III. EXPERIMENTS' section. The text consistently refers to 'The subject' and uses the pronoun 'his', indicating a single male participant, but provides no other demographic details like age or race.","Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Neurophysiology",0,0,0,0,1,N/A
19,A comparative electromyographical investigation of muscle utilization patterns using various hand positions during the lat pull-down.,"This study aimed at investigating the effects of different hand positions on the electromyographic (EMG) activity of shoulder muscles during the performance of the lat pull-down exercise. Ten healthy men performed 3 repetitions of the lat pull-down exercise using their experimentally determined 10RM (repetition maximum) weight. Four different common variations of the lat pull-down were used: close grip (CG), supinated grip (SG), wide grip anterior (WGA), and wide grip posterior (WGP). Normalized root mean square of the EMG (NrmsEMG) activity for the right posterior deltoid (PD), latissimus dorsi (LD), pectoralis major (PM), teres major (TM), and long head of the triceps (TLH) were recorded using surface electrodes and normalized using maximum voluntary contractions. Repeated measures analysis of variance for each muscle detected statistical differences (p < 0.05) in myoelectric activity among hand positions during both the concentric and eccentric phases of the exercise. During the concentric phase, NrmsEMG results for the LD included WGA > WGP, SG, CG. For the TLH: WGA > WGP, SG, CG and WGP > CG, SG. For the PD: CG, WGA, SG > WGP. For the PM: CG, WGA, SG > WGP. During the eccentric phase, the LD produced the following patterns: WGA > WGP, SG, CG and WGP > CG. The TLH pattern showed WGA > SG and CG. For the PD: CG > WGA, WGP. The results indicate that changes in handgrip position affect the activities of specific muscles during the lat pull-down movement. Also, performance of the lat pull-down exercise using the WGA hand position produces greater muscle activity in the LD than any other hand position during both the concentric or eccentric phases of the movement.",2002,PubMed,The Journal of Strength and Conditioning Research,"The paper is original empirical research from 2002 that uses surface EMG as a core modality to investigate muscle activity in human participants, meeting all inclusion criteria.",10,10 men,"Mean 27 ± 2.4 years, range 18-50",Not reported,USA,"Participant demographic data, including sample size, gender, and age details, were found in the 'Subjects' subsection of the 'Methods' section. Race and ethnicity were not reported.","Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics",1,1,1,0,0,32
20,Motor unit recruitment strategies investigated by surface EMG variables.,"During isometric contractions of increasing strength, motor units (MUs) are recruited by the central nervous system in an orderly manner starting with the smallest, with muscle fibers that usually show the lowest conduction velocity (CV). Theory predicts that the higher the velocity of propagation of the action potential, the higher the power at high frequencies of the detected surface signal. These considerations suggest that the power spectral density of the surface detected electromyogram (EMG) signal may give indications about the MU recruitment process. The purpose of this paper is to investigate the potential and limitations of spectral analysis of the surface EMG signal as a technique for the investigation of muscle force control. The study is based on a simulation approach and on an experimental investigation of the properties of surface EMG signals detected from the biceps brachii during isometric linearly increasing torque contractions. Both simulation and experimental data indicate that volume conductor properties play an important role as confounding factors that may mask any relation between EMG spectral variables and estimated CV as a size principle parameter during ramp contractions. The correlation between spectral variables and CV is thus significantly lower when the MU pool is not stable than during constant-torque isometric contractions. Our results do not support the establishment of a general relationship between spectral EMG variables and torque or recruitment strategy.",2002,PubMed,Journal of Applied Physiology,"The study includes an experimental investigation with original surface EMG data collected from human participants, satisfying all inclusion criteria.",10,10 Males,"Mean 26.3 ± 4.3 years, range 22-35 years",Not reported,Italy,"The demographic information was found in the 'Subjects' subsection of the 'Experimental Protocol' section. This section provided the sample size, gender, and age details.","Biomechanics & Kinematics, HCI & Prosthetics, Neurophysiology",0,1,0,0,0,13
21,Improving elbow torque output of stroke patients with assistive torque controlled by EMG signals.,"This paper develops an assistive torque system which uses homogeneic surface electromyogram (EMG) signals to improve the elbow torque capability of stroke patients by applying an external time-varying assistive torque. In determining the magnitude of the torque to apply, the incorporated assistive torque algorithm considers the difference between the weighted biceps and triceps EMG signals such that the applied torque is proportional to the effort supplied voluntarily by the user. The overall stability of the assistive system is enhanced by the incorporation of a nonlinear damping element within the control algorithm which mimics the physiological damping of the elbow joint and the co-contraction between the biceps and triceps. Adaptive filtering of the control signal is employed to achieve a balance between the bandwidth and the system adaptability so as to ensure a smooth assistive torque output. The innovative control algorithm enables the provision of an assistive system whose operation is both natural to use and simple to learn. The effectiveness of the proposed assistive system in assisting elbow movement performance is investigated in a series of tests involving five stroke patients and five able-bodied individuals. The results confirm the ability of the system to assist all of the subjects in performing a number of reaching and tracking tasks with reduced effort and with no sacrifice in elbow movement performance.",2003,PubMed,Journal of Biomechanical Engineering,"The study is an original empirical research article that uses surface EMG as a core modality to control an assistive device in human participants (stroke patients and able-bodied subjects), published in 2003.",10,"9 males, 1 female",Able-bodied subjects: range 23-25 years; Stroke patients: range 45-70 years,Not reported,Taiwan,"Participant demographic data, including sample size, sex, and age for both able-bodied and stroke patient groups, was found in Table 1 titled 'Details of 10 test subjects' and the 'Experimental Procedures' section.","Clinical & Diagnostic, Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics, Sports & Ergonomics",0,1,1,1,0,47
22,Comparison of MRI with EMG to study muscle activity associated with dynamic plantar flexion.,"This study compared magnetic resonance imaging (MRI) and surface electromyography (EMG) to evaluate the effect of knee angle upon plantar flexion activity in the triceps surae muscles [medial & lateral gastrocnemius (MG, LG) and the soleus (SOL)]. Two weight & height matched groups performed identical protocols, twelve (6M, 6F) in the MRI group, twelve (8M, 4F) in the EMG group. Subjects plantar flexed dynamically for 2 min at 25% of 1-repetition maximum voluntary contraction (1-RM). Exercise was performed with the knee extended (0 degrees flexion), flexed (90 degrees ), and partially flexed (45 degrees ). In the MRI group spin-echo images were acquired before and immediately following each exercise session. T(2) times, calculated at rest and after exercise by fitting the echoes to a monoexponential decay pattern with a least-squares algorithm, were compared with EMG data. In the EMG group a bipolar electrode was used to collect samples were from the MG, LG, SOL, and anterior tibialis (TA) during exercise at each knee angle, MRI also examined the peroneus (PER). At 0 degrees flexion MRI demonstrated a significant post-exercise T(2) increase in the MG (p < or = 0.001), LG (p < or = 0.001), and PER (p < or = 0.01), with no T(2) change in the SOL or TA. At 90 degrees flexion there was a significant T(2) increase in the SOL (p < or = 0.001) with no significant T(2) change in the MG, LG, PER, or TA. At 45 degrees T(2) increased significantly in the SOL (p < or = 0.001) and LG (p < or = 0.05), but not the MG, PER, or TA. EMG produced similar results with the exception that there was significant activity in the TA during the relaxation cycle of the 90 degrees protocol. We conclude that: 1) Soleus activity is measurable by MRI; and 2) MRI and EMG produce similar results from different physiological sources, and are therefore complementary tools for evaluating muscle activity.",2003,PubMed,Magnetic Resonance Imaging,"The study is a primary empirical investigation on human subjects that uses surface EMG as a core modality to compare with MRI, meeting all inclusion criteria.",24,"MRI group: 6 male, 6 female; EMG group: 8 male, 4 female",MRI group: 30 ± 3 years; EMG group: 23 ± 3 years,Not reported,USA,"Participant demographic data, including sample size, gender, and age, was found in the '2.1. Subjects' section, with details provided separately for the MRI and EMG groups.","Biomechanics & Kinematics, Rehabilitation & Therapy, HCI & Prosthetics",0,1,0,0,0,13
